marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
AUDI,Q2,34070,1 génération,4x4slashcharacter001SUV,2017,24/03/2020,ESSENCE,51038,AUTOMATIQUE,28000,8,150,<150000km
AUDI,A4,24470,B8slashcharacter0018K [restyling],Break,2015,24/03/2020,DIESEL,115625,AUTOMATIQUE,57000,10,177,<150000km
AUDI,A3,15330,8V,Hatchback,2014,24/03/2020,DIESEL,166588,MANUEL,57000,8,150,<250000km
AUDI,Q5,17380,8R [restyling],4x4slashcharacter001SUV,2014,24/03/2020,DIESEL,203378,MANUEL,71000,8,143,<250000km
AUDI,Q5,36150,8R [restyling],4x4slashcharacter001SUV,2016,24/03/2020,DIESEL,108797,AUTOMATIQUE,57000,16,258,<150000km
AUDI,A5,26190,8T [restyling],Berline,2015,24/03/2020,DIESEL,84418,AUTOMATIQUE,57000,11,204,<150000km
AUDI,A5,30970,2 génération,Berline,2016,24/03/2020,DIESEL,58268,AUTOMATIQUE,57000,10,190,<150000km
AUDI,Q3,26520,8U [restyling],4x4slashcharacter001SUV,2016,24/03/2020,DIESEL,82433,AUTOMATIQUE,57000,8,150,<150000km
AUDI,Q3,18690,8U [restyling],4x4slashcharacter001SUV,2016,28/04/2020,DIESEL,114555,MANUEL,24000,8,150,<150000km
AUDI,A1,16070,8X [restyling],Hatchback,2017,24/03/2020,DIESEL,84041,MANUEL,57000,6,116,<150000km
AUDI,Q5,37150,8R [restyling],4x4slashcharacter001SUV,2016,24/03/2020,DIESEL,88611,AUTOMATIQUE,57000,20,272,<150000km
AUDI,S8,39840,D4,Berline,2013,24/03/2020,ESSENCE,173988,AUTOMATIQUE,57000,42,520,<250000km
AUDI,Q3,24950,8U [restyling],4x4slashcharacter001SUV,2016,24/03/2020,DIESEL,103769,AUTOMATIQUE,57000,8,150,<150000km
AUDI,Q2,30110,1 génération,4x4slashcharacter001SUV,2019,24/03/2020,DIESEL,28278,AUTOMATIQUE,57000,6,116,<50000km
AUDI,A3,16480,8V [restyling],Hatchback,2017,24/03/2020,DIESEL,133650,AUTOMATIQUE,41000,5,110,<150000km
AUDI,A6,36450,4Gslashcharacter001C7 [restyling],Break,2016,24/03/2020,DIESEL,97501,AUTOMATIQUE,57000,13,218,<150000km
AUDI,S8,39840,D4 [restyling],Berline,2013,24/03/2020,ESSENCE,173988,AUTOMATIQUE,57000,42,520,<250000km
